# ground truth trajectory
# file: 'rgbd_dataset_freiburg1_desk.bag'
# timestamp tx ty tz qx qy qz qw
1305031449.7996 1.2334 -0.0113 1.6941 0.7907 0.4393 -0.1770 -0.3879
1305031449.8096 1.2334 -0.0111 1.6939 0.7911 0.4393 -0.1768 -0.3872
1305031449.8196 1.2330 -0.0111 1.6937 0.7913 0.4387 -0.1769 -0.3873
1305031449.8295 1.2328 -0.0110 1.6936 0.7916 0.4384 -0.1768 -0.3872
1305031449.8396 1.2325 -0.0110 1.6934 0.7919 0.4380 -0.1768 -0.3871
1305031449.8495 1.2323 -0.0110 1.6934 0.7923 0.4379 -0.1760 -0.3866
1305031449.8595 1.2321 -0.0109 1.6932 0.7925 0.4374 -0.1758 -0.3868
1305031449.8696 1.2316 -0.0108 1.6929 0.7926 0.4370 -0.1758 -0.3871
1305031449.8795 1.2312 -0.0108 1.6927 0.7929 0.4368 -0.1755 -0.3869
1305031449.8896 1.2307 -0.0106 1.6924 0.7932 0.4368 -0.1750 -0.3865
1305031449.8994 1.2302 -0.0105 1.6922 0.7935 0.4366 -0.1745 -0.3863
1305031449.9095 1.2298 -0.0105 1.6920 0.7936 0.4368 -0.1739 -0.3861
1305031449.9195 1.2292 -0.0104 1.6917 0.7935 0.4368 -0.1735 -0.3865
1305031449.9295 1.2286 -0.0103 1.6915 0.7934 0.4369 -0.1732 -0.3869
1305031449.9395 1.2279 -0.0102 1.6914 0.7929 0.4370 -0.1733 -0.3876
1305031449.9496 1.2273 -0.0101 1.6913 0.7925 0.4372 -0.1733 -0.3883
1305031449.9595 1.2268 -0.0099 1.6912 0.7921 0.4374 -0.1735 -0.3886
1305031449.9696 1.2262 -0.0097 1.6911 0.7916 0.4375 -0.1741 -0.3895
1305031449.9795 1.2254 -0.0094 1.6910 0.7910 0.4379 -0.1744 -0.3901
1305031449.9895 1.2245 -0.0090 1.6908 0.7901 0.4384 -0.1752 -0.3909
1305031449.9994 1.2237 -0.0086 1.6905 0.7895 0.4389 -0.1756 -0.3915
1305031450.0097 1.2229 -0.0081 1.6902 0.7888 0.4398 -0.1758 -0.3918
1305031450.0195 1.2219 -0.0076 1.6899 0.7881 0.4409 -0.1763 -0.3917
1305031450.0296 1.2211 -0.0072 1.6896 0.7878 0.4423 -0.1762 -0.3908
1305031450.0395 1.2203 -0.0066 1.6892 0.7871 0.4441 -0.1764 -0.3901
1305031450.0495 1.2194 -0.0060 1.6887 0.7863 0.4452 -0.1766 -0.3904
1305031450.0595 1.2185 -0.0054 1.6881 0.7857 0.4467 -0.1767 -0.3898
1305031450.0696 1.2177 -0.0048 1.6876 0.7854 0.4484 -0.1771 -0.3881
1305031450.0795 1.2169 -0.0040 1.6871 0.7851 0.4500 -0.1776 -0.3867
1305031450.0896 1.2162 -0.0033 1.6865 0.7847 0.4513 -0.1782 -0.3857
1305031450.0995 1.2154 -0.0023 1.6860 0.7841 0.4529 -0.1791 -0.3847
1305031450.1096 1.2145 -0.0015 1.6854 0.7834 0.4549 -0.1801 -0.3834
1305031450.1195 1.2139 -0.0006 1.6848 0.7825 0.4570 -0.1811 -0.3821
1305031450.1295 1.2132 0.0003 1.6841 0.7814 0.4592 -0.1825 -0.3811
1305031450.1395 1.2125 0.0013 1.6835 0.7804 0.4611 -0.1842 -0.3800
1305031450.1496 1.2119 0.0024 1.6828 0.7795 0.4637 -0.1856 -0.3781
1305031450.1595 1.2112 0.0035 1.6822 0.7781 0.4660 -0.1876 -0.3771
1305031450.1696 1.2106 0.0046 1.6815 0.7770 0.4681 -0.1897 -0.3757
1305031450.1796 1.2102 0.0058 1.6808 0.7760 0.4706 -0.1916 -0.3736
1305031450.1895 1.2096 0.0071 1.6800 0.7749 0.4725 -0.1944 -0.3722
1305031450.1996 1.2092 0.0086 1.6793 0.7735 0.4745 -0.1971 -0.3710
1305031450.2096 1.2090 0.0099 1.6786 0.7728 0.4765 -0.1996 -0.3686
1305031450.2196 1.2086 0.0114 1.6779 0.7714 0.4786 -0.2027 -0.3671
1305031450.2295 1.2082 0.0130 1.6770 0.7698 0.4807 -0.2059 -0.3660
1305031450.2395 1.2079 0.0145 1.6762 0.7683 0.4834 -0.2084 -0.3641
1305031450.2495 1.2076 0.0163 1.6755 0.7659 0.4861 -0.2115 -0.3638
1305031450.2595 1.2074 0.0180 1.6746 0.7636 0.4894 -0.2143 -0.3626
1305031450.2695 1.2072 0.0198 1.6738 0.7612 0.4931 -0.2169 -0.3611
1305031450.2795 1.2069 0.0218 1.6728 0.7583 0.4970 -0.2200 -0.3599
1305031450.2896 1.2069 0.0234 1.6718 0.7548 0.5003 -0.2236 -0.3605
1305031450.2995 1.2068 0.0253 1.6708 0.7522 0.5043 -0.2269 -0.3585
1305031450.3095 1.2070 0.0273 1.6700 0.7499 0.5080 -0.2292 -0.3564
1305031450.3195 1.2067 0.0295 1.6687 0.7469 0.5116 -0.2333 -0.3548
1305031450.3295 1.2069 0.0317 1.6677 0.7445 0.5157 -0.2362 -0.3521
1305031450.3395 1.2070 0.0341 1.6665 0.7423 0.5187 -0.2395 -0.3501
1305031450.3496 1.2071 0.0365 1.6650 0.7403 0.5220 -0.2429 -0.3471
1305031450.3595 1.2074 0.0393 1.6636 0.7390 0.5250 -0.2447 -0.3442
1305031450.3695 1.2080 0.0421 1.6620 0.7380 0.5279 -0.2465 -0.3404
1305031450.3795 1.2082 0.0449 1.6601 0.7366 0.5303 -0.2491 -0.3379
